one,1
barrel (US petroleum) per second,bbl (US)/s
baud,Bd
Beaufort,Bft
brake horse power,BHP
biot,Bi
bit,bit
bit per metre,bit/m
bit per square metre,bit/m²
bit per cubic metre,bit/m³
bit per second,bit/s
horsepower (boiler),boiler hp
big point,bp
beats per minute,BPM
becquerel,Bq
becquerel per kilogram,Bq/kg
becquerel per cubic metre,Bq/m³
ton (UK shipping),British shipping ton
British thermal unit (mean),Btu
British thermal unit (39 ºF),Btu (39 ºF)
British thermal unit (59 ºF),Btu (59 ºF)
British thermal unit (60 ºF),Btu (60 ºF)
Btu per cubic foot,BTU/ft³
British thermal unit (international table),BtuIT
British thermal unit (international table) foot per hour square foot degree Fahrenheit,BtuIT·ft/(h·ft²·°F)
British thermal unit (international table) inch per hour square foot degree Fahrenheit,BtuIT·in/(h·ft²·°F)
British thermal unit (international table) inch per second square foot degree Fahrenheit,BtuIT·in/(s·ft²·°F)
British thermal unit (international table) per square foot hour,BtuIT/(ft²·h)
British thermal unit (international table) per square foot second,BtuIT/(ft²·s)
British thermal unit (international table) per hour square foot degree Rankine,BtuIT/(h·ft²·°R)
British thermal unit (international table) per hour square foot degree Fahrenheit,BtuIT/(h·ft²·ºF)
British thermal unit (international table) per square inch second,BtuIT/(in²·s)
British thermal unit (international table) per pound degree Fahrenheit,BtuIT/(lb·°F)
British thermal unit (international table) per pound degree Rankine,BtuIT/(lb·°R)
British thermal unit (international table) per second foot degree Rankine,BtuIT/(s·ft·°R)
British thermal unit (international table) per second square foot degree Rankine,BtuIT/(s·ft²·°R)
British thermal unit (international table) per second square foot degree Fahrenheit,BtuIT/(s·ft²·ºF)
British thermal unit (international table) per square foot,BtuIT/ft²
British thermal unit (international table) per cubic foot,BtuIT/ft³
British thermal unit (international table) per hour,BtuIT/h
million Btu(IT) per hour,BtuIT/h
British thermal unit (international table) per pound,BtuIT/lb
British thermal unit (international table) per minute,BtuIT/min
British thermal unit (international table) per degree Fahrenheit,BtuIT/ºF
British thermal unit (international table) per degree Rankine,BtuIT/ºR
British thermal unit (international table) per second,BtuIT/s
British thermal unit (thermochemical) foot per hour square foot degree Fahrenheit,Btuth·ft/(h·ft²·°F)
British thermal unit (thermochemical) inch per hour square foot degree Fahrenheit,Btuth·in/(h·ft²·°F)
British thermal unit (thermochemical) inch per second square foot degree Fahrenheit,Btuth·in/(s·ft²·°F)
British thermal unit (thermochemical) per square foot hour,Btuth/(ft²·h)
British thermal unit (thermochemical) per square foot minute,Btuth/(ft²·min)
British thermal unit (thermochemical) per square foot second,Btuth/(ft²·s)
British thermal unit (thermochemical) per hour square foot degree Fahrenheit,Btuth/(h·ft²·ºF)
British thermal unit (thermochemical) per pound degree Fahrenheit,Btuth/(lb·°F)
British thermal unit (thermochemical) per second square foot degree Fahrenheit,Btuth/(s·ft²·ºF)
British thermal unit (thermochemical) per square foot,Btuth/ft²
British thermal unit (thermochemical) per cubic foot,Btuth/ft³
British thermal unit (thermochemical) per hour,Btuth/h
British thermal unit (thermochemical) per pound,Btuth/lb
British thermal unit (thermochemical) per minute,Btuth/min
British thermal unit (thermochemical) per degree Fahrenheit,Btuth/ºF
British thermal unit (thermochemical) per degree Rankine,Btuth/ºR
British thermal unit (thermochemical) per second,Btuth/s
bushel (UK) per day,bu (UK)/d
bushel (UK) per hour,bu (UK)/h
bushel (UK) per minute,bu (UK)/min
bushel (UK) per second,bu (UK)/s
bushel (US dry) per day,bu (US dry)/d
bushel (US dry) per hour,bu (US dry)/h
bushel (US dry) per minute,bu (US dry)/min
bushel (US dry) per second,bu (US dry)/s
bushel (US),bu (US)
bushel (UK),bushel (UK)
byte,byte
byte per second,byte/s
coulomb,C
coulomb metre,C·m
coulomb square metre per kilogram,C·m²/kg
coulomb metre squared per volt,C·m²/V
coulomb per kilogram second,C/(kg·s)
coulomb per square centimetre,C/cm²
coulomb per cubic centimetre,C/cm³
coulomb per kilogram,C/kg
coulomb per metre,C/m
coulomb per square metre,C/m²
coulomb per cubic metre,C/m³
coulomb per square millimetre,C/mm²
coulomb per cubic millimetre,C/mm³
coulomb per mole,C/mol
calorie,cal
calorie (mean),cal
calorie per gram,cal/g
15 °C calorie,cal₁₅
calorie (20 ºC),cal₂₀
calorie (international table),calIT
calorie (international table) per gram degree Celsius,calIT/(g·°C)
calorie (international table) per gram kelvin,calIT/(g·K)
calorie (international table) per second centimetre kelvin,calIT/(s·cm·K)
calorie (international table) per second square centimetre kelvin,calIT/(s·cm²·K)
calorie (international table) per gram,calIT/g
calorie (thermochemical),calth
calorie (thermochemical) per centimetre second degree Celsius,calth/(cm·s·°C)
calorie (thermochemical) per square centimetre minute,calth/(cm²·min)
calorie (thermochemical) per square centimetre second,calth/(cm²·s)
calorie (thermochemical) per gram degree Celsius,calth/(g·°C)
calorie (thermochemical) per gram kelvin,calth/(g·K)
calorie (thermochemical) per second centimetre kelvin,calth/(s·cm·K)
calorie (thermochemical) per second square centimetre kelvin,calth/(s·cm²·K)
calorie (thermochemical) per square centimetre,calth/cm²
calorie (thermochemical) per gram,calth/g
calorie (thermochemical) per minute,calth/min
calorie (thermochemical) per second,calth/s
candela,cd
candela per square foot,cd/ft²
candela per square inch,cd/in²
candela per square metre,cd/m²
centigram,cg
Gunter's chain,ch (UK)
chain (based on U.S. survey foot),ch (US survey)
curie,Ci
curie per kilogram,Ci/kg
centilitre,cl
clo,clo
centimetre,cm
conventional centimetre of water,cm H₂O
centimetre of mercury,cm Hg
centimetre per bar,cm/bar
centimetre per hour,cm/h
centimetre per kelvin,cm/K
centimetre per second,cm/s
centimetre per second squared,cm/s²
reciprocal centimetre,cm⁻¹
reciprocal cubic centimetre,cm⁻³
square centimetre,cm²
square centimetre per steradian erg,cm²/(sr·erg)
square centimetre per erg,cm²/erg
square centimetre per gram,cm²/g
square centimetre per second,cm²/s
cubic centimetre,cm³
cubic centimetre per day bar,cm³/(d·bar)
cubic centimetre per day kelvin,cm³/(d·K)
cubic centimetre per hour bar,cm³/(h·bar)
cubic centimetre per hour kelvin,cm³/(h·K)
cubic centimetre per minute bar,cm³/(min·bar)
cubic centimetre per minute kelvin,cm³/(min·K)
cubic centimetre per second bar,cm³/(s·bar)
cubic centimetre per second kelvin,cm³/(s·K)
cubic centimetre per bar,cm³/bar
cubic centimetre per day,cm³/d
cubic centimetre per hour,cm³/h
cubic centimetre per kelvin,cm³/K
cubic centimetre per cubic metre,cm³/m³
cubic centimetre per minute,cm³/min
cubic centimetre per mole,cm³/mol
cubic centimetre per second,cm³/s
centimetre of water (4 ºC),cmH₂O (4 °C)
centimetre of mercury (0 ºC),cmHg (0 ºC)
circular mil,cmil
centinewton metre,cN·m
cord (128 ft3),cord
centipoise,cP
centipoise per bar,cP/bar
centipoise per kelvin,cP/K
centistokes,cSt
cup [unit of volume],cup (US)
cheval vapeur,CV
hundred weight (UK),cwt (UK)
hundred pound (cwt) / hundred weight (US),cwt (US)
day,d
reciprocal day,d⁻¹
decare,daa
decagram,dag
decalitre,dal
decametre,dam
square decametre,dam²
cubic decametre,dam³
decapascal,daPa
decibel,dB
decibel per kilometre,dB/km
decibel per metre,dB/m
Decibel-milliwatts,dBm
Decibel watt,dBW
decade (logarithmic),dec
degree day,deg da
denier,den
denier,den (g/9 km)
decigram,dg
decilitre,dl
decilitre per gram,dl/g
decimetre,dm
square decimetre,dm²
cubic decimetre,dm³
cubic decimetre per day,dm³/d
cubic decimetre per hour,dm³/h
cubic decimetre per kilogram,dm³/kg
cubic decimetre per cubic metre,dm³/m³
cubic decimetre per minute,dm³/min
cubic decimetre per mole,dm³/mol
cubic decimetre per second,dm³/s
decinewton metre,dN·m
dozen,DOZ
dots per inch,dpi
dioptre,dpt
dry gallon (US),dry gal (US)
dry pint (US),dry pt (US)
dry quart (US),dry qt (US)
decitonne,dt or dtn
decitex,dtex (g/10km)
deadweight tonnage,dwt
dyne,dyn
dyne centimetre,dyn·cm
dyne metre,dyn·m
dyne second per centimetre,dyn·s/cm
dyne second per cubic centimetre,dyn·s/cm³
dyne second per centimetre to the fifth power,dyn·s/cm⁵
dyne per centimetre,dyn/cm
dyne per square centimetre,dyn/cm²
erlang,E
exabit per second,Ebit/s
exbibit per metre,Eibit/m
exbibit per square metre,Eibit/m²
exbibit per cubic metre,Eibit/m³
exbibyte,Eibyte
exajoule,EJ
horsepower (electric),electric hp
erg,erg
erg square centimetre,erg·cm²
erg square centimetre per gram,erg·cm²/g
erg per square centimetre second,erg/(cm²·s)
erg per second square centimetre,erg/(s·cm²)
erg per centimetre,erg/cm
erg per cubic centimetre,erg/cm³
erg per gram,erg/g
erg per gram second,erg/g·s
erg per second,erg/s
electronvolt,eV
electronvolt square metre,eV·m²
electronvolt square metre per kilogram,eV·m²/kg
electronvolt per metre,eV/m
reciprocal electron volt per cubic metre,eV⁻¹/m³
farad,F
farad per kilometre,F/km
farad per metre,F/m
board foot,fbm
French gauge,Fg
failures in time,FIT
femtojoule,fJ
femtolitre,fl
fluid ounce (UK),fl oz (UK)
ounce (UK fluid) per day,fl oz (UK)/d
ounce (UK fluid) per hour,fl oz (UK)/h
ounce (UK fluid) per minute,fl oz (UK)/min
ounce (UK fluid) per second,fl oz (UK)/s
fluid ounce (US),fl oz (US)
ounce (US fluid) per day,fl oz (US)/d
ounce (US fluid) per hour,fl oz (US)/h
ounce (US fluid) per minute,fl oz (US)/min
ounce (US fluid) per second,fl oz (US)/s
femtometre,fm
Formazin nephelometric unit,FNU
franklin,Fr
foot,ft
foot (U.S. survey),ft (US survey)
foot of water,ft H₂O
foot of mercury,ft Hg
foot pound-force,ft·lbf
foot pound-force per hour,ft·lbf/h
foot pound-force per minute,ft·lbf/min
foot pound-force per second,ft·lbf/s
foot poundal,ft·pdl
foot per degree Fahrenheit,ft/°F
foot per hour,ft/h
foot per minute,ft/min
foot per psi,ft/psi
foot per second,ft/s
foot per second squared,ft/s²
square foot,ft²
square foot per hour,ft²/h
square foot per second,ft²/s
cubic foot,ft³
cubic foot per minute per square foot,ft³/(min/ft²)
cubic foot per degree Fahrenheit,ft³/°F
cubic foot per day,ft³/d
cubic foot per hour,ft³/h
cubic foot per pound,ft³/lb
cubic foot per minute,ft³/min
cubic foot per psi,ft³/psi
cubic foot per second,ft³/s
foot to the fourth power,ft⁴
footcandle,ftc
fathom,fth
foot of water (39.2 ºF),"ftH₂O (39,2 ºF)"
footlambert,ftL
furlong,fur
gram,g
gram centimetre per second,g·(cm/s)
gram millimetre,g·mm
gram per centimetre second,g/(cm·s)
gram per cubic centimetre bar,g/(cm³·bar)
gram per cubic centimetre kelvin,g/(cm³·K)
gram per day bar,g/(d·bar)
gram per day kelvin,g/(d·K)
gram per cubic decimetre bar,g/(dm³·bar)
gram per cubic decimetre kelvin,g/(dm³·K)
gram per hour bar,g/(h·bar)
gram per hour kelvin,g/(h·K)
gram per litre bar,g/(l·bar)
gram per litre kelvin,g/(l·K)
gram per cubic metre bar,g/(m³·bar)
gram per cubic metre kelvin,g/(m³·K)
gram per minute bar,g/(min·bar)
gram per minute kelvin,g/(min·K)
gram per millilitre bar,g/(ml·bar)
gram per millilitre kelvin,g/(ml·K)
gram per second bar,g/(s·bar)
gram per second kelvin,g/(s·K)
gram per bar,g/bar
gram per square centimetre,g/cm²
gram per cubic centimetre,g/cm³
gram per day,g/d
gram per cubic decimetre,g/dm³
gram per hour,g/h
gram per hertz,g/Hz
gram per kelvin,g/K
gram per litre,g/l
gram per metre (gram per 100 centimetres),g/m
gram per square metre,g/m²
gram per cubic metre,g/m³
gram per minute,g/min
gram per millilitre,g/ml
gram per millimetre,g/mm
gram per square millimetre,g/mm²
gram per mole,g/mol
gram per second,g/s
gal,Gal
gallon (UK),gal (UK)
Imperial gallon per minute,gal (UK) /min
gallon (UK) per day,gal (UK)/d
gallon (UK) per hour,gal (UK)/h
gallon (UK) per second,gal (UK)/s
gallon (US liquid) per second,gal (US liq.)/s
gallon (US),gal (US)
US gallon per minute,gal (US) /min
gallon (US) per day,gal (US)/d
gallon (US) per hour,gal/h
gigabit,Gbit
gigabit per second,Gbit/s
gigabecquerel,GBq
gigabyte,Gbyte
gigabyte per second,Gbyte/s
gigacoulomb per cubic metre,GC/m³
gigaelectronvolt,GeV
gram-force per square centimetre,gf/cm²
gigahertz,GHz
gigahertz metre,GHz·m
gilbert,Gi
gill (UK),gi (UK)
gill (UK) per day,gi (UK)/d
gill (UK) per hour,gi (UK)/h
gill (UK) per minute,gi (UK)/min
gill (UK) per second,gi (UK)/s
gill (US),gi (US)
gill (US) per day,gi (US)/d
gill (US) per hour,gi (US)/h
gill (US) per minute,gi (US)/min
gill (US) per second,gi (US)/s
gram of fissile isotope,gi F/S
gibibit,Gibit
gibibit per metre,Gibit/m
gibibit per square metre,Gibit/m²
gibibit per cubic metre,Gibit/m³
gibibyte,Gibyte
gigajoule,GJ
standard acceleration of free fall,gn
gon,gon
gigapascal,GPa
grain,gr
gross,gr
grain per gallon (US),gr/gal (US)
gauss,Gs
gigawatt,GW
gigawatt hour,GW·h
gray,Gy
gray per hour,Gy/h
gray per minute,Gy/min
gray per second,Gy/s
gigaohm,GΩ
gigaohm metre,GΩ·m
gigaohm per metre,GΩ/m
henry,H
hour,h
henry per kiloohm,H/kΩ
henry per metre,H/m
henry per ohm,H/Ω
reciprocal henry,H⁻¹
hectare,ha
hartley,Hart
hartley per second,Hart/s
hectobar,hbar
hectogram,hg
Hefner-Kerze,HK
hectolitre,hl
hectometre,hm
square hectometre,hm²
cubic hectometre,hm³
hectopascal,hPa
hectopascal litre per second,hPa·l/s
hectopascal cubic metre per second,hPa·m³/s
hectopascal per bar,hPa/bar
hectopascal per kelvin,hPa/K
hectopascal per metre,hPa/m
hertz,Hz
hertz metre,Hz·m
international candle,IK
inch,in
inch pound (pound inch),in·lb
inch poundal,in·pdl
inch per degree Fahrenheit,in/°F
inch per minute,in/min
inch per psi,in/psi
inch per two pi radiant,in/revolution
inch per second,in/s
inch per second squared,in/s²
inch per year,in/y
square inch,in²
square inch per second,in²/s
cubic inch,in³
cubic inch per hour,in³/h
cubic inch per pound,in³/lb
cubic inch per minute,in³/min
cubic inch per second,in³/s
inch to the fourth power,in⁴
inch of water,inH₂O
inch of water (39.2 ºF),"inH₂O (39,2 ºF)"
inch of water (60 ºF),inH₂O (60 ºF)
inch of mercury,inHg
inch of mercury (32 ºF),inHG (32 ºF)
inch of mercury (60 ºF),inHg (60 ºF)
joule,J
joule square metre,J·m²
joule square metre per kilogram,J·m²/kg
joule second,J·s
joule per kilogram kelvin,J/(kg·K)
joule per mole kelvin,J/(mol·K)
joule per square centimetre,J/cm²
joule per day,J/d
joule per gram,J/g
joule per hour,J/h
joule per kelvin,J/K
joule per kilogram,J/kg
joule per metre,J/m
joule per square metre,J/m²
joule per cubic metre,J/m³
joule per metre to the fourth power,J/m⁴
joule per minute,J/min
joule per mole,J/mol
joule per second,J/s
joule per tesla,J/T
reciprocal joule per cubic metre,J⁻¹/m³
kelvin,K
kelvin metre per watt,K·m/W
kelvin per bar,K/bar
kelvin per hour,K/h
kelvin per kelvin,K/K
kelvin per minute,K/min
kelvin per pascal,K/Pa
kelvin per second,K/s
kelvin per watt,K/W
reciprocal kelvin or kelvin to the power minus one,K⁻¹
kiloampere,kA
kiloampere hour (thousand ampere hour),kA·h
kiloampere per metre,kA/m
kiloampere per square metre,kA/m²
katal,kat
kilobar,kbar
kilobaud,kBd
kilobit,kbit
kilobit per second,kbit/s
kilobecquerel,kBq
kilobecquerel per kilogram,kBq/kg
kilobyte,kbyte
kilobyte per second,kbyte/s
kilocoulomb,kC
kilocoulomb per square metre,kC/m²
kilocoulomb per cubic metre,kC/m³
kilocalorie (mean),kcal
kilocalorie (international table) per hour metre degree Celsius,kcal/(m·h·°C)
kilocalorie (international table),kcalIT
kilocalorie (thermochemical),kcalth
kilocalorie (thermochemical) per hour,kcalth/h
kilocalorie (thermochemical) per minute,kcalth/min
kilocalorie (thermochemical) per second,kcalth/s
kilocandela,kcd
kilocurie,kCi
kiloelectronvolt,keV
kilofarad,kF
thousand cubic foot,kft³
kilogram,kg
kilogram of substance 90 % dry,kg 90 % sdt
kilogram of choline chloride,kg C₅ H₁₄ClNO
kilogram of hydrogen peroxide,kg H₂O₂
kilogram of potassium oxide,kg K₂O
kilogram of potassium hydroxide (caustic potash),kg KOH
kilogram of methylamine,kg met.am.
kilogram of nitrogen,kg N
kilogram of sodium hydroxide (caustic soda),kg NaOH
kilogram of uranium,kg U
kilogram of tungsten trioxide,kg WO₃
kilogram centimetre per second,kg·(cm/s)
kilogram square centimetre,kg·cm²
kilogram metre,kg·m
kilogram metre per second,kg·m/s
kilogram metre per second squared,kg·m/s²
kilogram metre squared,kg·m²
kilogram metre squared per second,kg·m²/s
kilogram square millimetre,kg·mm²
kilogram per cubic centimetre bar,kg/(cm³·bar)
kilogram per cubic centimetre kelvin,kg/(cm³·K)
kilogram per day bar,kg/(d·bar)
kilogram per day kelvin,kg/(d·K)
kilogram per hour bar,kg/(h·bar)
kilogram per hour kelvin,kg/(h·K)
kilogram per litre bar,kg/(l·bar)
kilogram per litre kelvin,kg/(l·K)
kilogram per metre day,kg/(m·d)
kilogram per metre hour,kg/(m·h)
kilogram per metre minute,kg/(m·min)
kilogram per metre second,kg/(m·s)
kilogram per square metre pascal second,kg/(m²·Pa·s)
kilogram per square metre second,kg/(m²·s)
kilogram per cubic metre bar,kg/(m³·bar)
kilogram per cubic metre kelvin,kg/(m³·K)
kilogram per minute bar,kg/(min·bar)
kilogram per minute kelvin,kg/(min·K)
kilogram per second bar,kg/(s·bar)
kilogram per second kelvin,kg/(s·K)
kilogram per bar,kg/bar
kilogram per square centimetre,kg/cm²
kilogram per cubic centimetre,kg/cm³
kilogram per day,kg/d
kilogram per cubic decimetre,kg/dm³
kilogram per hour,kg/h
kilogram per kelvin,kg/K
kilogram per kilogram,kg/kg
kilogram per kilometre,kg/km
kilogram per kilomol,kg/kmol
kilogram per litre,kg/l or kg/L
kilogram per metre,kg/m
kilogram per square metre,kg/m²
kilogram per cubic metre,kg/m³
kilogram per minute,kg/min
kilogram per millimetre,kg/mm
kilogram per mole,kg/mol
kilogram drained net weight,kg/net eda
kilogram per pascal,kg/Pa
kilogram per second,kg/s
kilogram-force,kgf
kilogram-force metre,kgf·m
kilogram-force metre per square centimetre,kgf·m/cm²
kilogram-force metre per second,kgf·m/s
kilogram-force per square centimetre,kgf/cm²
kilogram-force per square metre,kgf/m²
kilogram-force per square millimetre,kgf/mm²
kilogauss,kGs
kilohenry,kH
kilohertz,kHz
kilohertz metre,kHz·m
kibibit,Kibit
kibibit per metre,Kibit/m
kibibit per square metre,Kibit/m²
kibibit per cubic metre,Kibit/m³
kibibyte,Kibyte
kilopound-force,kip
kilojoule,kJ
kilojoule per kilogram kelvin,kJ/(kg·K)
kilojoule per day,kJ/d
kilojoule per gram,kJ/g
kilojoule per hour,kJ/h
kilojoule per kelvin,kJ/K
kilojoule per kilogram,kJ/kg
kilojoule per minute,kJ/min
kilojoule per mole,kJ/mol
kilojoule per second,kJ/s
kilolitre,kl
kilolitre per hour,kl/h
kilopound per hour,klb/h
kilopound-force per square inch,klbf/in²
kilolux,klx
kilometre,km
kilometre,km
kilometre per hour,km/h
kilometre per second,km/s
kilometre per second squared,km/s²
square kilometre,km²
cubic kilometre,km³
thousand cubic metre per day,km³/d
kilomole,kmol
kilomole per hour,kmol/h
kilomole per kilogram,kmol/kg
kilomole per cubic metre,kmol/m³
kilomole per minute,kmol/min
kilomole per second,kmol/s
kilonewton,kN
knot,kn
kilonewton metre,kN·m
kilonewton per metre,kN/m
kilonewton per square metre,kN/m2
kilopond,kp
kilopascal,kPa
kilopascal square metre per gram,kPa·m²/g
kilopascal per bar,kPa/bar
kilopascal per kelvin,kPa/K
kilopascal per metre,kPa/m
kilopascal per millimetre,kPa/mm
kiloroentgen,kR
kilosecond,ks
kilosiemens,kS
kilosiemens per metre,kS/m
kip per square inch,ksi
kilotesla,kT
kilotonne,kt
kilovolt,kV
kilovolt - ampere,kV·A
kilovolt per metre,kV/m
kilovolt ampere hour,kVAh
kilovar,kvar
kilovolt ampere (reactive),kvar
kilovolt ampere reactive hour,kvar·h
kilowatt,kW
kilowatt hour,kW·h
kilowatt hour per hour,kW·h/h
kilowatt hour per kelvin,kW·h/K
kilowatt hour per cubic metre,kW·h/m³
kilowatt per metre degree Celsius,kW/(m·°C)
kilowatt per metre kelvin,kW/(m·K)
kilowatt per square metre kelvin,kW/(m²·K)
kilowatt year,kW/year
kiloweber,kWb
kiloweber per metre,kWb/m
kiloohm,kΩ
kiloohm metre,kΩ·m
litre,l
litre per day bar,l/(d·bar)
litre per day kelvin,l/(d·K)
litre per hour bar,l/(h·bar)
litre per hour kelvin,l/(h·K)
litre per minute bar,l/(min·bar)
litre per minute kelvin,l/(min·K)
litre per second bar,l/(s·bar)
litre per second kelvin,l/(s·K)
litre per bar,l/bar
litre per day,l/d
litre per hour,l/h
litre per kelvin,l/K
litre per kilogram,l/kg
litre per litre,l/l
litre per minute,l/min
litre per mole,l/mol
litre per second,l/s
lambert,Lb
pound,lb
pound foot per second,lb·(ft/s)
pound inch per second,lb·(in/s)
pound (avoirdupois) square foot,lb·ft²
pound inch squared,lb·in²
pound per foot day,lb/(ft·d)
pound per foot hour,lb/(ft·h)
pound per foot minute,lb/(ft·min)
pound per foot second,lb/(ft·s)
